,Date,High,Low,Open,Close
47,2020-02-18 00:00:00+00:00,1.08373,1.07858,1.08368,1.0795
48,2020-02-19 00:00:00+00:00,1.081175,1.07824,1.079495,1.08098
49,2020-02-20 00:00:00+00:00,1.08209,1.0778,1.08097,1.07878
50,2020-02-21 00:00:00+00:00,1.08634,1.07873,1.078775,1.08475
52,2020-02-23 00:00:00+00:00,1.0841,1.08254,1.08254,1.08385
53,2020-02-24 00:00:00+00:00,1.0872,1.08054,1.08386,1.085455
54,2020-02-25 00:00:00+00:00,1.08901,1.083045,1.08488,1.08795
55,2020-02-26 00:00:00+00:00,1.090865,1.08552,1.087975,1.08859
56,2020-02-27 00:00:00+00:00,1.10062,1.0885,1.088635,1.099675
57,2020-02-28 00:00:00+00:00,1.10529,1.09511,1.09966,1.10252
59,2020-03-01 00:00:00+00:00,1.10723,1.1041,1.10451,1.105195
60,2020-03-02 00:00:00+00:00,1.11844,1.103645,1.105185,1.11441
61,2020-03-03 00:00:00+00:00,1.12129,1.10955,1.11443,1.11768
62,2020-03-04 00:00:00+00:00,1.11874,1.109575,1.11767,1.113825
63,2020-03-05 00:00:00+00:00,1.12448,1.11197,1.11383,1.12229
64,2020-03-06 00:00:00+00:00,1.13547,1.121175,1.122275,1.128655
66,2020-03-08 00:00:00+00:00,1.139635,1.13373,1.13463,1.13878
67,2020-03-09 00:00:00+00:00,1.14967,1.13562,1.13876,1.13993
68,2020-03-10 00:00:00+00:00,1.14252,1.12752,1.139925,1.13141
69,2020-03-11 00:00:00+00:00,1.13669,1.125355,1.131405,1.12614
70,2020-03-12 00:00:00+00:00,1.13334,1.105555,1.126145,1.11827
71,2020-03-13 00:00:00+00:00,1.122125,1.10553,1.11829,1.110485
73,2020-03-15 00:00:00+00:00,1.11959,1.11261,1.11261,1.11577
74,2020-03-16 00:00:00+00:00,1.12367,1.108565,1.11576,1.11637
75,2020-03-17 00:00:00+00:00,1.118915,1.09552,1.11636,1.101645
76,2020-03-18 00:00:00+00:00,1.104515,1.08022,1.101655,1.094425
77,2020-03-19 00:00:00+00:00,1.09493,1.06549,1.09444,1.0655
78,2020-03-20 00:00:00+00:00,1.08309,1.06379,1.065495,1.06933
80,2020-03-22 00:00:00+00:00,1.070695,1.063655,1.07065,1.06892
81,2020-03-23 00:00:00+00:00,1.08281,1.06585,1.068915,1.076385
82,2020-03-24 00:00:00+00:00,1.088795,1.074605,1.076365,1.079835
83,2020-03-25 00:00:00+00:00,1.089385,1.076065,1.07985,1.088865
84,2020-03-26 00:00:00+00:00,1.10587,1.08748,1.08887,1.10477
85,2020-03-27 00:00:00+00:00,1.114735,1.09536,1.10478,1.113945
87,2020-03-29 00:00:00+00:00,1.114425,1.110565,1.11207,1.113665
88,2020-03-30 00:00:00+00:00,1.11385,1.10102,1.11366,1.10291
89,2020-03-31 00:00:00+00:00,1.10428,1.09268,1.102905,1.1026
90,2020-04-01 00:00:00+00:00,1.10362,1.0903,1.10262,1.09515
91,2020-04-02 00:00:00+00:00,1.09644,1.08208,1.095165,1.084615
92,2020-04-03 00:00:00+00:00,1.085535,1.0773,1.0846,1.08042
94,2020-04-05 00:00:00+00:00,1.08216,1.08044,1.081385,1.080555
95,2020-04-06 00:00:00+00:00,1.083525,1.07686,1.08055,1.079905
96,2020-04-07 00:00:00+00:00,1.092605,1.07906,1.0799,1.08938
97,2020-04-08 00:00:00+00:00,1.089685,1.08301,1.08937,1.08599
98,2020-04-09 00:00:00+00:00,1.09518,1.08411,1.085995,1.09234
99,2020-04-10 00:00:00+00:00,1.09519,1.09201,1.092345,1.093535
101,2020-04-12 00:00:00+00:00,1.094305,1.09306,1.09416,1.09317
102,2020-04-13 00:00:00+00:00,1.09678,1.08929,1.09316,1.092
103,2020-04-14 00:00:00+00:00,1.09896,1.09152,1.09198,1.09837
104,2020-04-15 00:00:00+00:00,1.098725,1.08569,1.09835,1.09038
105,2020-04-16 00:00:00+00:00,1.09073,1.08167,1.090385,1.08589
106,2020-04-17 00:00:00+00:00,1.089255,1.081215,1.085885,1.08728
108,2020-04-19 00:00:00+00:00,1.08762,1.08637,1.08709,1.08639
109,2020-04-20 00:00:00+00:00,1.08966,1.08413,1.08638,1.08639
110,2020-04-21 00:00:00+00:00,1.08802,1.081675,1.086395,1.08565
111,2020-04-22 00:00:00+00:00,1.088515,1.08033,1.085645,1.080625
112,2020-04-23 00:00:00+00:00,1.084665,1.07561,1.08063,1.07746
113,2020-04-24 00:00:00+00:00,1.08289,1.07272,1.07745,1.082305
115,2020-04-26 00:00:00+00:00,1.0824,1.08148,1.082215,1.082095
116,2020-04-27 00:00:00+00:00,1.086005,1.08114,1.0821,1.082445
117,2020-04-28 00:00:00+00:00,1.08885,1.08098,1.08244,1.08327
118,2020-04-29 00:00:00+00:00,1.08855,1.0831,1.083265,1.087745
119,2020-04-30 00:00:00+00:00,1.09726,1.08331,1.087735,1.0945
120,2020-05-01 00:00:00+00:00,1.10187,1.093465,1.09449,1.098115
122,2020-05-03 00:00:00+00:00,1.097395,1.09532,1.09705,1.09608
123,2020-05-04 00:00:00+00:00,1.0961,1.08958,1.09609,1.090335
124,2020-05-05 00:00:00+00:00,1.09259,1.0826,1.09035,1.083865
125,2020-05-06 00:00:00+00:00,1.084385,1.0782,1.08386,1.079815
126,2020-05-07 00:00:00+00:00,1.08409,1.07667,1.079825,1.08365
127,2020-05-08 00:00:00+00:00,1.08756,1.08153,1.08364,1.083935
129,2020-05-10 00:00:00+00:00,1.083965,1.082675,1.082685,1.083795
130,2020-05-11 00:00:00+00:00,1.08505,1.080215,1.08378,1.08094
131,2020-05-12 00:00:00+00:00,1.08852,1.078455,1.08093,1.08456
